A7_C40 A5_B781
A5_A255 C6_C150
B5_C994 B6_A92
D7_B127 B4_B90
A3_C952 A7_B156
B3_C981 D7_B379
D3_A865 A2_B694
A4_C603 A7_C141
A3_B985 C1_C290
D5_A939 C1_B262
C1_B414 C7_B62
B3_B597 A4_C72
D6_C394 C1_C922
B4_C197 D4_A218
B4_C149 D7_A674
B5_B206 A7_C614
A3_C978 D5_B344
D1_A733 D6_C988
D6_B937 C4_C137
D2_B962 B2_A953
D2_A453 C4_A247
C2_A469 A6_B909
D1_B645 C5_C915
B4_B6 C5_A306
D3_B705 A1_A933
D3_A581 C1_C785
C2_B392 B5_C979
D2_B296 D5_A162
B5_A91 C5_A747
B7_A930 B1_C443
C5_A120 A7_B523
C5_B959 B6_C259
B6_A608 B6_C453
C2_B405 B3_B123
C4_B22 A7_C241
D4_A136 B2_A801
B6_C134 D3_C646
C5_C862 D3_B708
B7_C412 B5_B340
C3_A47 A3_B776
C2_A869 B5_A910
D2_C857 C6_A238
A1_A387 C7_B881
B1_B84 B1_C724
D6_A1 C1_C629
A4_C14 A2_C635
A6_A531 A6_B146
A7_B910 C5_C480
C3_A980 D4_A164
C7_B669 A2_A745
A5_A665 C3_A635
A7_B83 D1_C335
B1_B178 C6_C782
C6_C252 C6_A850
B4_A355 C1_B192
A4_A722 B3_C133
C4_A589 C6_B195
A7_B267 A1_A2
B4_A696 B1_A317
D4_A41 B5_B964
A7_C54 C5_C733
D6_C906 D7_B572
A7_A515 B5_C490
C7_C217 C3_C499
D2_B995 A1_C581
B2_C746 A4_A448
A4_C828 D1_C957
A5_C707 D2_B256
B7_B652 A3_A660
D6_C12 C7_C458
C1_A776 D6_B772
C4_C698 C3_A28
B4_B922 D1_A509
B1_C981 D6_B644
C5_C471 D6_C706
B1_C924 D6_C439
C3_A871 D3_C818
D4_A464 D5_A200
D3_A448 A5_A452
A2_A470 D5_C240
A4_C187 D2_C55
D6_C477 D2_A794
A1_B909 A2_C108
A2_A69 B5_C600
B1_B956 C5_B765
C1_C580 B1_C458
A3_A62 D5_A197
D7_A274 D3_A372
D1_C428 B6_B293
C6_A217 A3_A476
C5_C446 C4_A519
D7_A313 B5_A824
A1_A740 B6_B519
B5_B417 D3_C823
C7_C655 C2_B150
C7_C139 C4_B190
A3_C148 B1_C913
C3_B139 A3_B785
D4_B821 B4_B211
B3_C140 C5_A690
C1_A508 A1_C812
A7_C116 C5_B968
A7_A378 C3_A869
D3_A384 D5_C585
D3_C636 D4_A675
D3_A361 B6_C68
D5_C333 B4_B178
A4_B288 D2_C427
A6_A712 D4_B546
A6_C630 B4_A434
B1_A35 A4_B513
A2_C986 A4_B226
B5_B346 C7_C862
A5_A548 D6_B953
C1_C186 C4_B413
C6_A429 B3_B834
D4_C694 B4_B517
D7_A626 C5_B310
C4_A633 B5_C428
B5_A281 C3_C664
C4_A497 B5_B563
B6_A624 D6_B497
D6_B506 C7_B803
C2_C523 C2_B908
B3_C951 B7_B106
B5_B876 A6_C915
D1_C101 A5_C771
D1_C920 B3_A831
B2_A126 B4_B145
C1_B50 B1_A367
C2_A135 D5_C713
A7_B164 C4_A228
B7_B232 B7_B986
D6_A406 B7_B840
D7_C560 B7_A840
C4_A725 D5_A434
C4_C374 A4_C742
B6_C505 C5_B301
D3_A579 D5_A427
A5_A591 A6_C3
D6_B80 B5_C618
C6_B205 A2_A236
C4_C284 D7_A660
D4_A94 C6_C372
C4_C252 B7_A1
C1_A190 C1_B161
A2_B245 A6_C844
D2_A857 A2_C257
D3_B196 C7_B576
C5_C477 D7_A79
B1_C18 A3_C18
A6_B566 C2_C859
A5_C472 C7_A656
C3_B472 A4_C202
C3_B258 D2_C98
B7_A659 D6_B293
D3_C792 C2_B314
D5_A411 A6_C35
B3_B970 B1_B603
A6_A192 D6_A978
C2_A242 A1_B189
D5_C850 B1_A611
B7_C769 C2_C373
D7_C837 C4_A708
D6_C682 B2_C513
A1_A374 C4_C357
D2_C491 C5_C578
D4_A423 D5_B487
A2_A330 D7_A612
B2_A17 C3_B629
C2_C393 C5_C719
C5_C638 D7_C554
D3_C36 D4_A217
C5_B822 D5_A349
B4_B18 C3_B719
C6_C886 C2_A16
C2_C625 B4_C39
B6_B403 C5_B768
A6_C570 C2_A551
B6_C359 D3_A490
A2_C453 C3_C785
A4_C572 D7_B848
C4_C402 C2_A35
C7_C144 C3_C552
C7_C121 C5_A32
D5_B506 C3_B104
B1_C383 D7_B686
B6_A700 C2_B221
B5_C376 C5_A489
B7_C446 B2_B997
D5_C421 B2_C291
C4_B358 B1_B848
D6_A458 C3_A666
A2_A241 A3_A987
A7_B717 C5_B591
C7_C899 B1_C280
B1_A192 A4_C936
B4_A668 C5_C96
B5_B780 C3_B832
A2_C727 D1_A975
A7_A571 B7_B125
B2_A618 C1_A978
D5_A753 A5_C668
D3_B307 D1_A671
A7_B303 C3_A453
C3_B816 A6_C628
C1_C669 C6_B319
D2_B688 D6_C79
B1_B730 D6_B989
C3_C269 A5_C305
C1_C446 B2_C803
C5_A276 C4_B847
D2_C972 D5_B589
B6_A598 D7_B568
B4_C632 A3_A376
A1_B245 B7_B129
C1_A208 D3_B250
A2_B456 B3_C449
A6_C15 D5_C317
C7_B64 D5_C323
C3_A246 B2_B546
A2_A539 D1_B443
B2_C975 A1_A324
A6_A233 C7_B743
B6_C514 D4_B65
D1_B399 A3_C540
C7_C906 D6_A365
B6_A465 D7_A603
A4_A37 C1_B558
D4_C107 C3_C265
C2_B506 A7_A469
C3_B7 A1_B811
C2_A872 C5_A599
D6_C392 B3_A659
C7_B623 B3_C332
D7_B993 A1_C526
A2_C292 B3_C424
C1_C898 A2_C81
D2_B65 C4_B135
C4_C969 B6_A570
A6_A519 D3_C920
A3_B483 D1_C367
D6_A903 C7_C259
A2_C433 C3_A329
A5_C945 B7_B997
D6_A532 C3_C830
A6_B654 D7_A676
D3_A355 C2_B742
D6_A959 B7_B611
B6_A138 D5_B577
D4_C378 C7_C31
A1_B735 B7_C893
D6_A119 D5_B601
B4_B634 D7_A217
A3_A15 B3_C404
B2_C54 B6_A987
D4_B908 B7_A41
D3_B659 B3_A879
B1_A448 B5_A286
C1_C104 A5_A164
A5_B226 D2_A651
D2_A854 B6_B702
D4_A26 A3_C922
C3_C667 A6_A632
A5_C216 C1_A192
D7_C889 C5_A370
C3_B705 A6_B450
D1_C102 D2_C778
B1_A310 A3_C606
B7_A143 B4_B303
C1_B563 B6_C72
A5_A179 C5_C628
C7_C288 B1_C163
A5_C860 D6_B750
D3_B97 D7_C554
A1_B765 B3_A533
D6_C54 D6_B40
B6_C729 A1_A462
B5_A591 D4_C6
A4_B575 C2_B412
B6_C70 A1_B754
C7_A66 A3_B349
A3_C908 B2_A101
C4_A96 D4_A26
C4_A252 B6_B651
C3_B324 D1_C614
D1_B531 C1_C874
B3_A462 C7_B598
C5_C54 D6_B856
D7_A277 D3_A702
C1_A193 B1_A915
A3_C965 A2_A166
C3_A443 C4_B709
B2_B113 A6_C217
D6_A695 C3_C262
C1_B316 B6_A244
C4_A716 D6_C134
A1_C467 B4_A195
A3_C574 C4_C464
C3_A709 C7_B614
B1_A184 B2_A702
B4_B863 D6_B521
A4_B308 C6_C43
C3_C890 A1_C33
B5_B865 A7_C789
D7_C589 D7_B916
A6_C366 C1_C211
A7_C890 A1_B212
D1_C594 B5_C606
C4_A168 A5_A999
A4_C150 D3_B366
A7_C814 A1_B479
B3_B809 B7_B58
C5_C395 B6_B557
B7_B539 B4_C738
B4_A502 D3_A956
D3_A291 D7_A575
C1_B296 C5_C427
C6_C240 D1_A415
B1_C130 A2_A212
D1_A158 C2_B922
D3_C967 B6_A7
D1_A992 B7_B352
C7_A959 A4_C396
D2_C398 B6_B596
D1_A73 C2_B706
B3_C670 C1_B239
A3_C938 C3_A744
D2_A946 A3_C714
A3_A855 A4_C275
C7_C138 A3_C715
B6_B470 D1_A60
B1_A577 D4_A265
D7_A130 C5_B149
B5_B377 D3_C628
D1_B437 D3_C688
B7_A936 B1_C744
C3_C797 D7_A851
D2_A440 B4_B831
B2_A976 A2_B933
B5_A966 C5_A246
C1_B398 C2_B171
B2_B59 A3_C804
C4_B246 B7_B289
B3_C509 D7_B881
B1_A615 B3_C135
C6_A600 A2_B382
B5_A871 D3_C198
A2_B642 B6_B766
D5_C243 A1_B803
D4_A199 B4_C951
B3_C918 C4_A830
C5_A548 A3_B448
A5_A209 B5_C31
B4_A60 A7_B477
A6_C413 D1_C835
D4_B33 D2_A819
C3_A967 A6_C960
D6_C657 D2_A204
D3_C273 C6_C766
C4_A542 C1_B783
D2_B197 B1_A679
D2_B190 C1_B914
A1_C982 A1_A215
D2_A218 A6_C864
B7_A219 B1_A119
B5_B442 D6_C432
A5_B418 A4_A672
D2_C573 B6_A47
C3_A855 C1_C156
C5_A600 A2_C223
D6_C689 B3_C618
A6_A91 B1_C207
B2_B632 A1_A69
A3_A131 C1_C883
A7_C661 B3_B782
C6_B993 C1_C504
D2_C358 B5_A303
A4_C971 C4_B522
C7_A444 A5_C16
B5_A420 B2_B232
B3_C296 A1_B805
A1_C409 C7_C390
A6_C147 A6_A153
A6_B196 D7_C13
B3_B100 D4_A877
A2_C883 C3_C283
D4_C759 A5_C337
C1_C839 B3_B585
A1_C630 A6_C838
D2_A6 A1_B534
D2_A933 C3_C193
A5_A111 C3_C989
C4_A613 A2_A86
A1_B921 D6_C51
C6_A889 D3_C456
B2_C995 C3_A796
A5_A287 D3_C300
A6_A222 A3_A314
A5_C992 B7_A557
B1_C791 B5_C585
D2_C232 C7_A689
D6_A627 D5_B903
C5_C54 A4_C228
D2_B208 C4_C894
C3_B737 C5_B985
C7_A939 A7_C586
A6_C908 C6_C724
B4_C458 D2_C835
A7_A605 B3_A416
D1_C133 B5_A952
A1_B171 C1_B319
C6_C509 B6_B891
A1_A15 D4_B700
B5_A452 D7_C647
C7_A417 D6_C523
B1_A605 B2_A116
C4_A561 A1_B252
D4_A69 D2_A287
B6_C212 A1_C670
D5_B704 B6_B589
A6_A230 C3_A347
A5_C401 C3_B611
B3_B158 B3_C586
A2_A875 D5_C192
C1_C123 C7_B410
A1_B632 A4_C316
B1_C736 D4_A196
B4_C684 A5_C22
B5_A274 D2_B258
A2_A182 A1_A829
A3_C207 D4_A419
A6_A942 C1_C926
B6_C651 C5_C57
B6_A919 C6_A813
A2_B726 D2_B123
A1_A46 A2_C935
C4_B693 A2_B376
D1_B216 A6_C360
B6_A381 A6_B363
A2_B292 A4_B478
B4_C897 D3_C266
B1_C437 C6_B122
C7_A25 B5_C358
D5_B867 B7_B403
A3_B215 C6_B386
C4_B35 A5_B151
A1_A492 D2_B61
C5_A425 C2_B657
A5_A484 C4_B559
C5_C512 A7_A202
D6_A209 C3_A2
B7_C568 C7_B939
B1_B698 B1_A491
B4_A408 C3_C745
C4_A893 B6_B903
C5_A796 D6_A496
B5_C44 D2_C94
C4_C3 A6_B972
B1_C402 A7_C57
B3_A864 D6_C347
D4_A975 D3_A333
B6_C839 A1_A926
A5_A856 B1_A908
C1_B588 B7_B956
D5_C846 A4_C925
B6_C290 C6_C389
C5_B483 D3_A359
C6_B870 C3_A909
A7_B193 C1_A754
B2_A201 D4_A691
D6_A998 B4_C520
A5_C357 C7_A65
A6_A114 A5_B331
B6_A402 D5_C896
A2_C818 B2_B406
D4_A547 D3_C723
B2_C764 C4_B324
C3_A342 B4_C194
B5_A40 B5_A948
A5_A512 C2_C410
B3_A637 A3_B307
C3_C851 D3_A951
C3_B456 D7_C491
C3_A82 C6_B224
A7_C106 D6_A150
C2_C798 D5_A230
C3_B442 D5_C589
D2_A778 A2_B616
C2_C244 C7_B700
B1_A8 A1_A812
A3_A120 B6_A656
B7_A488 C2_B775
D7_C409 A1_A583
B3_A304 C7_C785
D1_B244 D5_C843
A3_B624 B7_B5
C4_A849 A7_C751
B7_B827 C7_B18
D4_B680 C2_C868
B1_C3 D5_C116
A6_B429 B2_C885
C2_A553 B5_A591
A7_C483 B2_A749
B1_C973 B2_B775
A4_A678 C7_B257
B6_C375 D7_B672
B7_A98 A4_A146
D1_C264 B4_A802
B5_B851 C2_A577
D3_B107 A1_A128
B2_B99 B1_B258
B7_A847 A3_A718
D6_C611 A7_B795
B4_B952 D1_A439
C7_C332 C2_A782
C7_B502 D1_A736
B6_B667 A5_A598
C7_C24 A6_C118
D1_A859 B1_A146
B1_C295 C4_A647
A7_B950 D4_A604
B3_B13 A2_B61
A4_C97 B1_A654
C7_A980 A4_B251
A7_A951 A3_A579
A3_A593 D7_A929
A3_B876 A2_B507
C7_B138 A3_B648
D2_A522 A3_A337
D1_B626 D4_A638
D3_A779 B5_B793
A7_C5 A3_A414
C7_A723 B7_B877
D7_C660 C3_B989
C7_A765 D5_C165
B3_A346 D1_B554
B1_B132 C4_B10
C2_A336 B4_A191
D1_B800 D2_C657
D6_C103 B4_B81
D3_B362 D7_A460
D6_C544 C5_A477
B3_B319 D4_B448
D7_A890 A5_C459
C3_A869 A4_C268
D7_A331 D5_C435
A4_B496 C1_B496
C4_C759 A2_B264
A1_B669 C5_B368
B3_C698 A2_C949
C5_A426 D2_C651
C5_A126 D4_C560
B2_C755 D1_A22
C3_B169 A6_B188
B7_C263 A6_B272
A3_C158 A6_C532
D2_A679 A1_C537
B1_B685 A4_A270
C6_A959 C3_C564
B6_C156 B6_B31
D7_C922 A1_A983
B6_A386 C3_C515
B7_C621 D3_A387
B5_B728 A6_C454
D5_C348 C4_C550
B6_B644 C1_C463
B3_A473 B5_C679
A3_B419 A7_A137
A4_B96 A3_B460
C3_B648 A6_C123
A5_B25 C4_C535
B5_A107 A6_C284
C6_A562 B1_B153
C7_C488 D4_A203
D7_B154 B2_B519
D6_A631 C3_B60
A7_C554 D6_A682
C6_C588 C4_C280
D6_B363 A4_A715
A5_C117 B6_A720
A6_A733 D2_B375
D4_C22 A1_C238
C2_B150 C7_A477
D7_C191 D5_B268
A5_A510 B6_C944
A5_A36 C3_C59
C5_C845 D2_A28
D6_C965 B4_A827
C7_B730 B5_B660
C6_A304 C4_A910
A4_C585 D7_A874
B2_B669 A1_B279
A6_B933 C2_A98
D6_B264 B3_C156
A3_C691 C3_A449
A3_C570 A2_C50
C1_A805 B3_C718
C4_A370 B6_A136
A4_B23 D3_A737
C1_C531 A4_C269
A4_B329 C3_B48
A2_A474 D4_A865
C6_A106 A4_A190
B3_B700 C4_A205
C7_C403 A6_B774
B1_C723 B4_C81
C4_A200 B1_C750
A4_A947 B2_C495
C5_B245 C2_A798
B2_B724 B1_C348
B7_C438 D6_B120
A2_B181 C3_B911
C7_B709 D5_A497
B2_C587 A2_A297
D3_C126 D5_B6
C6_B75 A6_A438
D2_A839 C6_A394
D3_C302 D2_A965
A6_B292 C6_C976
D7_C265 D3_A299
A5_B890 C4_C489
C5_C517 C1_B678
C6_A789 D4_C466
A3_C1 B3_B330
A6_B109 D3_A350
A3_C858 C2_C813
B3_C79 C3_A407
A4_C24 D5_C101
A2_A882 D2_A426
A2_C579 D1_C276
C7_B890 B6_A827
C1_A160 A5_A616
D1_A341 C5_B90
D2_A110 D7_C364
D6_A585 A3_A639
D2_B532 C2_A149
A6_C147 D5_B132
D6_B660 B5_A582
A6_A217 D4_B450
D4_B691 C5_A169
D6_B514 D3_A116
A5_B265 B2_B456
B5_A862 B4_B571
D4_B438 D1_A452
A5_A876 A3_C431
B2_A189 A4_C71
C1_A7 A1_A867
C4_A99 A5_A295
C3_B335 A4_C304
D4_A286 B7_B342
D3_A493 B4_A637
D6_C137 B4_C738
A5_A882 B1_B919
A3_C462 D3_B812
A7_A778 D1_A182
C2_B754 B7_A6
A1_B623 C5_A667
C5_A495 C7_B887
C1_A149 B3_C847
B3_C306 D2_B327
D1_B629 B4_A355
B1_C140 A2_B196
D7_B825 C1_B484
D1_A14 A3_C230
C3_B309 D3_C124
C7_B817 B6_C939
D3_B514 D7_B839
A1_C205 B7_A234
C3_A662 C3_A482
A4_C884 C5_C597
B5_C318 C6_B170
B5_B612 A3_C973
D3_C565 D4_B464
A2_A772 A2_C963
D6_A190 B7_A240
C1_B711 A1_A426
B4_C329 C4_A909
B2_B422 A6_A875
B5_A984 D6_C637
C7_A636 B4_B395
A3_C826 C6_A652
A7_C761 A2_C812
C2_B342 C1_A947
B1_B965 C1_A454
