A1_A13 A3_C220
D2_C861 B2_B923
D2_C935 C2_C706
D3_A153 D6_A191
D3_A214 B5_A539
D3_A254 D7_B317
D3_A311 C4_B92
D3_A379 B6_A150
D3_A384 D5_C585
D3_A428 B3_A158
D3_A5 C4_A784
D3_A55 D3_A877
D3_A579 D5_A427
D3_A608 B6_C933
D3_A746 B3_B302
D3_A779 B5_B793
D3_A783 A4_A332
D3_A80 D5_B576
D3_A816 C1_B194
D3_A872 D2_C37
D3_A987 D7_A354
D3_B122 C3_B259
D3_B146 A7_B190
D3_B243 A6_C687
D3_B265 B1_B916
D3_B285 A6_B707
D3_B318 C7_A525
D3_B348 A4_A695
D3_B355 D3_B407
D3_B366 D3_B153
D3_B46 A1_C681
D3_B484 B2_A483
D3_B522 D7_B556
D3_B659 B3_A879
D3_B684 A3_B905
D3_B803 D3_B510
D3_B809 B4_B492
D3_B855 A7_B946
D3_B865 D7_B120
D3_B921 D7_C728
D3_C133 D6_C84
D3_C258 D1_C464
D3_C273 C6_C766
D3_C287 A4_B405
D3_C365 D3_C894
D3_C365 D3_C894
D3_C385 D1_B213
D3_C395 D2_C316
D3_C395 D2_C316
D3_C526 D5_C255
D3_C545 C6_A801
D3_C547 B2_B486
D3_C65 D6_C298
D3_C700 D1_B229
D3_C709 B1_A877
D3_C720 D3_C342
D3_C82 D7_B276
D3_C883 D5_C951
D3_C884 C1_A624
D3_C891 D3_C793
D4_A120 D7_C618
D4_A276 D4_A70
D4_A279 C3_C128
D4_A292 A2_B968
D4_A484 D7_B552
D4_A632 D1_A559
D4_A761 D6_A849
D4_A803 D1_C136
D4_A808 D2_A785
D4_A841 A2_B8
D4_A975 D3_A333
D4_B149 D2_C35
D4_B170 B1_B8
D4_B303 B7_A252
D4_B33 D2_A819
D4_B338 B1_C154
D4_B391 B5_C497
D4_B416 C3_A460
D4_B503 A1_B975
D4_B526 A6_B320
D4_B612 B7_A955
D4_B691 C5_A169
D4_B743 C2_B453
D4_B743 C2_B453
D4_B869 C3_A595
D4_B886 B5_B521
D4_B913 C4_C83
D4_B974 C2_B23
D4_C116 B5_C37
D4_C224 C2_C443
D4_C262 A6_A348
D4_C275 B3_B301
D4_C281 A6_A505
D4_C447 C4_C467
D4_C452 A5_C37
D4_C536 A3_B712
D4_C542 A7_C149
D4_C590 D7_C708
D4_C644 A5_B47
D4_C703 A7_B253
D4_C707 D1_C801
D4_C73 D5_C66
D4_C75 D6_C837
D4_C759 A5_C337
D4_C782 B3_C809
D4_C912 B6_B67
D4_C933 D7_B937
D5_A187 C1_B12
D5_A191 D1_A47
D5_A410 A4_A410
D5_A554 A6_C40
D5_A575 D2_A648
D5_A634 A2_A651
D5_A66 D6_C595
D5_A807 D5_A866
D5_A925 B7_B968
D5_A939 C1_B262
D5_A942 A7_A710
D5_A947 C7_A48
D5_A96 B3_A740
D5_A974 B7_C774
D5_A982 D6_B742
D5_A993 A1_A661
D5_B24 D7_B250
D5_B315 D6_B710
D5_B506 C3_B104
D5_B564 B3_B920
D5_B582 D3_B303
D5_B629 A3_B516
D5_B629 A3_B516
D5_B802 D4_B772
D5_B802 D4_B772
D5_B820 D3_B383
D5_B865 D7_A277
D5_B91 C1_A622
D5_C176 C2_A124
D5_C193 C1_B164
D5_C200 B6_C278
D5_C262 C1_A357
D5_C333 B4_B178
D5_C333 B4_B178
D5_C421 B2_C291
D5_C610 D5_C342
D5_C68 D4_C810
D5_C68 D4_C810
D5_C704 A6_C690
D5_C852 A6_A613
D6_A1 C1_C629
D6_A114 D5_A808
D6_A209 C3_A2
D6_A233 D2_B929
D6_A396 D1_C29
D6_A532 C3_C830
D6_A736 A5_A969
D6_A736 A5_A969
D6_A790 C4_B444
D6_A876 D4_A997
D6_A89 D5_A192
D6_A899 B1_C543
D6_A903 C7_C259
D6_A986 B2_A219
D6_A986 B2_A219
D6_B112 D3_B705
D6_B112 D3_B705
D6_B251 D2_B333
D6_B383 C2_B77
D6_B445 D3_B925
D6_B445 D3_B925
D6_B466 D5_A585
D6_B477 A7_B154
D6_B506 C7_B803
D6_B634 A2_B690
D6_B652 B6_B814
D6_B672 C2_B455
D6_B713 D1_B692
D6_B757 C7_B297
D6_B779 C5_B804
D6_B80 B5_C618
D6_B81 B1_B280
D6_B854 C6_B811
D6_B859 C6_C790
D6_B923 A4_B84
D6_B923 A7_B949
D6_B937 C4_C137
D6_C106 B4_C217
D6_C35 C1_C652
D6_C365 B5_C601
D6_C394 C1_C922
D6_C420 D6_A177
D6_C46 C6_C32
D6_C569 B4_C962
D6_C591 D6_C509
D6_C689 B3_C618
D6_C735 D4_A623
D6_C835 A1_C467
D6_C958 A5_B542
D7_A130 C5_B149
D7_A154 D1_A387
D7_A156 B5_B982
D7_A160 B5_C767
D7_A188 C4_A906
D7_A241 A1_A41
D7_A296 D6_A179
D7_A322 B6_A667
D7_A337 D7_A492
D7_A412 C1_B480
D7_A483 D3_A324
D7_A518 D4_A405
D7_A523 D1_A546
D7_A715 D2_A691
D7_A723 A2_C418
D7_A760 C1_C998
D7_A774 C4_A212
D7_A8 D1_A14
D7_A858 B6_C373
D7_A890 A5_C459
D7_B154 B2_B519
D7_B253 A1_A402
D7_B344 A4_C28
D7_B386 D4_B842
D7_B433 A7_A671
D7_B488 D2_C244
D7_B648 B5_A395
D7_B825 C1_B484
D7_B859 B4_C911
D7_C121 A3_B306
D7_C199 B1_C438
D7_C211 D5_C20
D7_C248 B7_A414
D7_C303 B6_A642
D7_C347 D1_C605
D7_C384 C2_C412
D7_C398 A1_C695
D7_C409 A1_A583
D7_C49 A2_A719
D7_C501 C7_B652
D7_C590 B7_C273
D7_C605 C2_C671
D7_C605 C2_C671
D7_C653 A3_C623
D7_C674 C2_C887
D7_C861 C4_B789
D7_C881 D5_C645
D7_C918 B3_C434
D7_C922 A1_A983
