A1_A113 C3_B148
B6_C876 D7_C866
B6_C89 A3_A962
B6_C894 B6_B878
B6_C940 A1_A140
B7_A143 B4_B303
B7_A181 D3_B300
B7_A183 B4_A302
B7_A200 D1_A735
B7_A221 D4_C866
B7_A243 B4_C963
B7_A319 C6_C13
B7_A352 D1_B434
B7_A365 D5_A617
B7_A365 D5_A617
B7_A391 A4_A134
B7_A397 A2_A429
B7_A423 C6_A69
B7_A426 B1_A914
B7_A461 C6_A745
B7_A466 D4_C510
B7_A472 A6_C58
B7_A56 B1_B103
B7_A560 B2_B251
B7_A604 D7_C272
B7_A606 B6_A350
B7_A661 B3_A93
B7_A668 B5_A944
B7_A698 B1_A44
B7_A749 D7_C111
B7_A828 B4_A455
B7_A848 D2_A271
B7_A936 B1_C744
B7_A936 C5_A432
B7_A938 B3_B934
B7_A938 B5_A447
B7_A988 C6_A244
B7_A999 A2_A799
B7_B118 A6_A217
B7_B121 B4_B694
B7_B200 D2_A43
B7_B391 B1_B280
B7_B44 B5_A461
B7_B459 B2_A999
B7_B49 A3_C182
B7_B511 A1_C931
B7_B55 A1_C685
B7_B568 C1_B975
B7_B571 A2_A987
B7_B601 B3_B472
B7_B633 C6_A185
B7_B658 D6_B168
B7_B684 B5_B927
B7_B686 A6_A209
B7_B730 A6_C703
B7_B791 D7_B553
B7_B87 D4_B608
B7_B870 B7_C455
B7_B894 D2_A802
B7_B90 D5_B270
B7_B923 A2_C896
B7_B928 B2_C219
B7_B929 A6_C447
B7_B942 C7_C413
B7_B983 A1_B230
B7_C140 C7_C493
B7_C238 C1_B817
B7_C30 B3_C30
B7_C313 C5_A291
B7_C318 B3_C162
B7_C347 B1_C477
B7_C366 B4_B273
B7_C379 D4_B479
B7_C389 B7_C401
B7_C403 D1_A700
B7_C457 D1_C61
B7_C476 D6_B821
B7_C482 C3_A126
B7_C504 D4_C301
B7_C547 D7_B434
B7_C576 B5_C987
B7_C604 C4_C573
B7_C615 B4_B311
B7_C634 A2_B641
B7_C652 B6_C595
B7_C674 D2_B515
B7_C724 C6_C983
B7_C827 A4_B568
B7_C868 A4_C776
B7_C876 B7_C765
B7_C920 A6_B732
B7_C93 B3_B800
B7_C955 D3_C204
C1_A106 C7_B45
C1_A14 A1_B454
C1_A235 C5_A467
C1_A253 C3_C857
C1_A3 A1_C555
C1_A379 A4_A120
C1_A417 A2_C802
C1_A470 C7_A62
C1_A473 C7_B79
C1_A481 B4_B933
C1_A481 D7_B661
C1_A615 C3_B886
C1_A650 C6_A624
C1_A650 C6_A624
C1_A665 C1_A517
C1_A679 D1_C832
C1_A709 C4_A519
C1_A709 C4_A519
C1_A797 D5_B856
C1_A914 B5_A222
C1_A943 D4_C547
C1_A943 D6_A466
C1_A99 A4_B300
C1_B112 C5_B1
C1_B118 C6_A457
C1_B119 D3_C572
C1_B124 D2_C323
C1_B164 A1_B897
C1_B164 A7_B878
C1_B170 C2_B666
C1_B174 D4_C437
C1_B179 C4_B85
C1_B190 C4_B47
C1_B243 B5_A13
C1_B288 C4_B275
C1_B328 D4_B647
C1_B386 C2_B276
C1_B386 C2_B276
C1_B388 B3_B300
C1_B403 C7_B425
C1_B506 A4_B811
C1_B508 C2_B459
C1_B52 C4_B90
C1_B534 B4_A175
C1_B543 D6_A695
C1_B554 C7_B536
C1_B58 A4_A993
C1_B588 B7_B956
C1_B604 A5_A337
C1_B639 A2_A53
C1_B643 D6_A410
C1_B668 C1_B435
C1_B687 C3_B102
C1_B687 C3_B102
C1_B778 C3_A798
C1_B79 D4_B54
C1_B846 D3_C478
C1_B907 A3_B636
C1_B977 D4_C928
C1_B978 B1_C43
C1_C163 C6_B706
C1_C171 A3_C678
C1_C235 D7_B892
C1_C238 B4_B931
C1_C251 C1_C646
C1_C256 B2_C516
C1_C306 A1_C958
C1_C324 D2_B768
C1_C329 B7_C881
C1_C348 D5_C931
C1_C365 D5_C969
C1_C41 B2_A745
C1_C568 B4_C765
C1_C581 C4_C428
C1_C612 B6_A715
C1_C669 C6_B319
C1_C706 D5_B330
C1_C73 C4_A917
C1_C737 B7_A836
C1_C748 D4_B232
C1_C752 C4_C195
C1_C752 C4_C195
C1_C797 D4_C182
C1_C834 B6_C852
C1_C876 D6_A635
C1_C902 C2_C565
C1_C929 C5_C317
C1_C94 D4_B380
C1_C949 D4_B771
C1_C953 C3_C621
C1_C990 B3_C76
C2_A105 D1_A364
C2_A110 A2_A638
C2_A146 C4_A958
C2_A170 C6_A278
C2_A199 B2_A294
C2_A232 C5_B504
C2_A270 C2_B620
C2_A322 B7_A125
C2_A400 C7_A879
C2_A401 D4_A772
C2_A401 D4_A772
C2_A432 C6_A287
C2_A469 A6_B909
C2_A515 A1_A222
C2_A520 D3_B67
C2_A524 C6_A369
C2_A56 D5_B389
C2_A600 B5_A305
C2_A658 C1_A525
C2_A680 D2_C527
C2_A681 B2_C175
C2_A682 C2_A587
C2_A708 B3_A969
C2_A740 A2_B691
C2_A767 C4_C534
C2_A769 A5_A223
C2_A773 D6_A814
C2_A773 D6_A814
C2_A846 C5_A830
C2_A846 C5_A830
C2_A872 C5_A599
C2_A937 B3_C827
C2_A951 D3_A969
C2_B130 A7_A942
C2_B138 B1_A970
C2_B143 B7_A332
C2_B151 D4_A424
C2_B197 C6_B438
C2_B3 D2_A512
C2_B357 A4_B258
C2_B357 B2_B853
C2_B363 C4_C75
C2_B372 C5_A418
C2_B381 B4_C169
C2_B431 D1_B860
C2_B435 C3_C739
C2_B456 D7_B184
C2_B506 A7_A469
C2_B557 B5_C162
C2_B602 B1_B361
C2_B610 C7_C69
C2_B626 D2_A485
C2_B656 C2_B871
C2_B661 A6_B645
C2_B661 A6_B645
C2_B704 C2_B126
C2_B710 C3_A988
C2_B734 A4_A76
C2_B793 B7_C463
C2_B809 C6_B320
C2_B839 D7_C839
C2_B906 B1_B836
C2_B928 B4_A969
C2_B936 B3_A353
C2_B954 A3_B719
C2_B964 C2_B149
C2_C112 D7_C661
C2_C197 B1_A278
C2_C265 A5_B168
C2_C28 D7_A803
C2_C282 C3_C252
C2_C351 C5_B326
C2_C37 D5_A512
C2_C388 A2_B756
C2_C391 C5_C431
C2_C393 C3_A108
C2_C44 C4_C589
C2_C44 C4_C589
C2_C529 A7_B123
C2_C740 D4_C706
C2_C781 C5_C681
C2_C795 C1_A377
C2_C797 C1_C724
C2_C797 C3_A753
C2_C80 C6_A146
C2_C87 B2_A348
C2_C939 C6_C919
C2_C982 D2_B98
C3_A20 A3_A165
C3_A246 B2_B546
C3_A273 C5_A128
C3_A319 D4_A33
C3_A417 D7_B365
C3_A417 D7_B365
C3_A424 A3_B236
C3_A435 C3_B416
C3_A479 C3_A379
C3_A479 C3_A379
C3_A496 B2_C494
C3_A524 D4_B269
C3_A550 A2_A622
C3_A562 C7_C347
C3_A578 A3_B977
C3_A661 B7_B697
C3_A7 A7_A974
C3_A705 C6_A990
C3_A717 D4_C981
C3_A820 A5_A662
C3_A885 A6_A633
C3_A885 A6_A633
C3_A955 B3_C553
C3_A973 D2_B220
C3_A980 D4_A164
C3_B121 C1_C225
C3_B151 C7_A792
C3_B154 D4_B229
C3_B161 D7_B325
C3_B165 C4_B397
C3_B165 C4_B397
C3_B168 C3_A532
C3_B183 C6_B150
C3_B216 D5_C337
C3_B223 D5_A831
C3_B227 D7_A364
C3_B283 D7_A753
C3_B309 D3_C124
C3_B319 C4_B364
C3_B324 D1_C614
C3_B335 A4_C304
C3_B343 D3_A369
C3_B350 D4_B469
C3_B383 C3_B337
C3_B415 D5_A33
C3_B42 B6_B331
C3_B441 D5_B291
C3_B472 A4_C202
C3_B499 C1_B10
C3_B547 D2_C717
C3_B59 D1_B716
C3_B658 C5_A391
C3_B689 B4_B92
C3_B693 B3_B705
C3_B720 C7_A338
C3_B767 A3_B41
C3_B780 A2_B487
C3_B784 D5_B207
C3_B829 A1_A211
C3_B853 A4_C834
C3_B866 C5_B882
C3_B870 A2_C616
C3_B885 D3_C53
C3_B89 A1_A534
C3_B892 A4_B779
C3_B971 B2_B692
C3_B979 C5_B514
C3_C109 D7_B67
C3_C151 C3_C980
C3_C180 D1_C77
C3_C233 B1_C922
C3_C244 A2_B42
C3_C261 A1_C346
C3_C264 B6_C7
C3_C269 A5_C305
C3_C269 A5_C305
C3_C277 B4_C407
C3_C346 B1_C333
C3_C407 C3_B537
C3_C482 C5_A998
C3_C528 A1_A575
C3_C53 B3_A475
C3_C556 A2_B337
C3_C560 C1_A340
C3_C579 C1_C587
C3_C594 A5_A378
C3_C645 C7_A208
C3_C67 A3_C443
C3_C67 A3_C443
C3_C703 C3_C412
C3_C71 D6_A110
C3_C748 B4_C185
C3_C77 A6_B190
C3_C772 D7_A542
C3_C778 A5_B942
C3_C871 B2_C589
C3_C887 B1_B639
C3_C90 D4_C822
C3_C910 A1_A415
C4_A125 C4_B831
C4_A159 B3_C724
C4_A278 A3_A572
C4_A283 C2_A181
C4_A31 C6_C941
C4_A313 D4_B366
C4_A343 A2_A641
C4_A360 D7_A716
C4_A50 D2_A740
C4_A539 A1_A560
C4_A561 A1_B252
C4_A581 D5_B539
C4_A589 C6_B195
C4_A618 A2_A892
C4_A666 C1_A569
C4_A678 C7_B355
C4_A716 D6_C134
C4_A743 D1_A216
C4_A780 A4_B382
C4_A783 C2_A926
C4_A79 B4_C704
C4_A829 B6_B454
C4_A85 C1_A64
C4_A857 C2_B948
C4_A900 B2_C252
C4_A920 A7_A44
C4_A988 A2_B883
C4_B12 C5_B459
C4_B135 D7_C888
C4_B194 B7_B231
C4_B256 C4_A16
C4_B265 A2_A609
C4_B366 D1_C250
C4_B398 C7_C455
C4_B407 A4_B260
C4_B443 C6_B938
C4_B494 C2_A436
C4_B501 B3_C144
C4_B501 C7_B407
C4_B550 D4_B471
C4_B576 A6_C467
C4_B704 B1_C980
C4_B709 A4_A393
C4_B746 C4_C637
C4_B774 D1_B703
C4_B903 D5_C798
C4_B918 C7_B60
C4_B964 B3_B355
C4_C132 C7_C586
C4_C137 D7_C309
C4_C235 C5_A481
C4_C276 D4_A259
C4_C33 B1_B183
C4_C33 C5_A952
C4_C336 C4_C565
C4_C355 B3_C383
C4_C38 A4_C136
C4_C393 A1_B855
C4_C399 C6_B603
C4_C400 A3_A56
C4_C424 B1_C407
C4_C480 B4_C164
C4_C526 C7_C462
C4_C555 B6_C839
C4_C658 B7_B322
C4_C709 C2_B959
C4_C750 C6_A250
C4_C786 C5_C683
C4_C786 C5_C683
C4_C82 B3_B438
C4_C910 C5_C922
C4_C92 D6_B94
C4_C924 C1_A294
C4_C978 D1_B649
C5_A11 B5_A943
C5_A153 B5_C844
C5_A156 C4_A619
C5_A156 C4_A619
C5_A17 A6_B975
C5_A2 A2_C958
C5_A230 A3_A392
C5_A230 A3_A392
C5_A239 B3_C968
C5_A352 C2_A64
C5_A353 C5_B216
C5_A400 A3_A697
C5_A41 B2_A820
C5_A443 D2_B47
C5_A463 D5_A161
C5_A475 C3_A309
C5_A548 A3_B448
C5_A559 D2_A648
C5_A568 A3_C1
C5_A568 C7_C416
C5_A575 B7_A311
C5_A611 B4_B523
C5_A645 C7_A222
C5_A656 D5_A337
C5_A672 B3_C385
C5_A796 D5_C892
C5_A80 B4_C39
C5_A800 C4_A861
C5_A837 B2_C852
C5_A85 C2_C575
C5_A890 B3_B605
C5_A896 D7_C89
C5_A907 A3_A313
C5_A996 C6_C436
C5_B201 B6_B216
C5_B234 C2_B101
C5_B265 B4_B21
C5_B322 A2_C544
C5_B368 C5_B258
C5_B387 C3_B831
C5_B389 B3_C410
C5_B391 A7_B523
C5_B411 C2_B683
C5_B416 B2_A355
C5_B45 C3_B379
C5_B461 A1_C146
C5_B465 A6_A948
C5_B473 C5_B232
C5_B537 B4_B844
C5_B547 C6_C946
C5_B574 B6_C579
C5_B639 B4_C503
C5_B714 C7_C604
C5_B738 A6_A643
C5_B844 C7_C104
C5_B957 B2_A544
C5_B963 B4_C460
C5_C1 C1_A47
C5_C132 A5_C965
C5_C156 B7_C175
C5_C175 C3_C661
C5_C236 C6_B313
C5_C33 B7_B366
C5_C437 D1_C399
C5_C469 C3_C567
C5_C537 D1_C45
C5_C582 C1_C203
C5_C628 A2_A295
C5_C658 D2_C445
C5_C683 C4_C666
C5_C686 D3_B898
C5_C780 C2_A376
C5_C815 C7_A689
C5_C841 B5_C529
C5_C966 A5_C9
C6_A117 D4_C931
C6_A167 B1_B308
C6_A2 C2_C799
C6_A204 B2_A569
C6_A294 D1_B683
C6_A300 D1_A233
C6_A312 C1_B452
C6_A417 A2_B281
C6_A425 C6_B807
C6_A503 C6_A421
C6_A548 D5_A774
C6_A572 A5_A683
C6_A605 D5_A261
C6_A635 C7_A815
C6_A635 C7_A815
C6_A669 C2_A661
C6_A759 A3_B691
C6_A771 C1_A230
C6_A788 C5_B421
C6_A793 B1_B919
C6_A793 B1_B919
C6_A834 A6_A587
C6_A836 D1_A136
C6_A843 B1_A626
C6_A9 C5_C212
C6_A983 B5_B3
C6_B18 D7_B683
C6_B245 D6_B803
C6_B257 D3_B751
C6_B325 C5_B409
C6_B337 C7_B256
C6_B369 C1_A131
C6_B458 C5_C234
C6_B484 D2_A494
C6_B514 B1_C256
C6_B563 C2_C802
C6_B630 A3_B801
C6_B636 C6_A742
C6_B636 C6_A742
C6_B666 D7_C243
C6_B676 C1_B695
C6_B676 C1_B695
C6_B69 D4_A935
C6_B691 A4_B153
C6_B692 C3_B54
C6_B699 C2_B474
C6_B699 C2_B474
C6_B703 A3_B206
C6_B712 A7_B150
C6_B714 A4_C819
C6_B732 B7_C998
C6_B815 C2_B802
C6_B824 C4_B587
C6_B836 C2_B167
C6_B837 D3_B739
C6_B884 C7_A976
C6_B907 C4_B951
C6_B907 C4_B951
C6_B943 C7_B958
C6_B958 B6_A878
C6_B998 A7_B320
C6_C119 A1_A65
C6_C132 B1_A905
C6_C153 D6_C336
C6_C175 D4_A274
C6_C217 C7_C857
C6_C254 A3_C405
C6_C284 A1_B66
C6_C324 B4_B646
C6_C333 A2_A709
C6_C345 C4_A482
C6_C37 B4_B963
C6_C388 D6_A751
C6_C411 C5_C252
C6_C431 C6_C527
C6_C432 A6_A553
C6_C461 A2_A176
C6_C475 B4_B81
C6_C480 C5_B653
C6_C550 C2_C320
C6_C554 B5_A571
C6_C562 D1_B720
C6_C585 D5_C610
C6_C620 D6_A324
C6_C659 A5_C246
C6_C674 D6_A942
C6_C697 B7_B408
C6_C702 C4_C218
C6_C702 C4_C218
C6_C778 B4_B500
C6_C83 A6_B451
C6_C834 A2_B959
C6_C838 A5_B407
C6_C838 C5_C307
C6_C875 B3_C92
C6_C886 C2_A16
C6_C89 D6_C221
C6_C91 C2_C105
C6_C922 B3_B406
C6_C929 C3_C495
C6_C94 C3_B286
C6_C95 C4_C733
C6_C966 C5_A448
C7_A102 A2_B406
C7_A139 C3_B808
C7_A157 B3_C566
C7_A159 B3_A239
C7_A175 B1_C451
C7_A224 C3_A513
C7_A224 C3_A513
C7_A292 A2_B454
C7_A309 C6_A220
C7_A329 A3_B463
C7_A439 D3_B97
C7_A537 D6_A473
C7_A54 B5_B598
C7_A595 C1_A56
C7_A598 C7_A432
C7_A618 D6_C380
C7_A636 B4_B395
C7_A681 A6_C642
C7_A751 C5_C115
C7_A767 C6_A187
C7_A788 B2_B338
C7_A805 A4_A263
C7_A817 C1_A474
C7_A819 B3_C296
C7_A911 B4_A913
C7_A920 D6_A784
C7_A975 C6_A445
C7_B122 C1_B468
C7_B158 D7_B358
C7_B20 A2_C565
C7_B245 D7_C776
C7_B260 B3_B419
C7_B301 C3_B241
C7_B307 B5_B777
C7_B329 D6_B389
C7_B34 B4_C114
C7_B344 C5_B741
C7_B36 A2_C293
C7_B43 A7_C288
C7_B440 C7_B54
C7_B477 C6_B150
C7_B482 A4_C702
C7_B638 C4_B548
C7_B659 D2_A127
C7_B685 C6_B369
C7_B685 C6_B369
C7_B723 C5_B676
C7_B785 D5_A970
C7_B817 B6_C939
C7_B859 C4_A619
C7_B873 A7_C426
C7_B89 D6_A854
C7_B890 B6_A827
C7_B890 D1_A418
C7_B902 A4_B28
C7_B913 B7_B642
C7_B913 B7_B642
C7_B970 C2_B783
C7_B987 A3_B809
C7_C121 C5_A32
C7_C146 B4_B797
C7_C159 C3_C59
C7_C163 C3_C938
C7_C230 B7_B855
C7_C234 A1_A717
C7_C273 D7_A688
C7_C289 A7_B99
C7_C299 A1_B260
C7_C356 A7_C673
C7_C494 B4_B216
C7_C524 D1_C551
C7_C55 D3_B374
C7_C590 D2_C194
C7_C614 D3_B266
C7_C634 D3_A212
C7_C636 D4_A725
C7_C697 A6_B923
C7_C765 B6_A787
C7_C785 D1_C698
C7_C785 D1_C698
C7_C788 A3_C226
C7_C843 B5_C437
C7_C86 C2_A741
C7_C902 C3_C538
C7_C935 A1_A191
C7_C959 D3_A523
D1_A148 A1_A782
D1_A148 A1_A782
D1_A152 B2_B709
D1_A163 B1_A625
D1_A255 D1_A68
D1_A305 D2_A876
D1_A312 B6_C170
D1_A344 B5_B555
D1_A38 B5_A76
D1_A383 B2_C193
D1_A44 A6_B22
D1_A46 D1_B41
D1_A46 D1_B41
D1_A551 A1_B68
D1_A628 B7_C151
D1_A637 B4_A755
D1_A657 C6_B114
D1_A673 B4_A798
D1_A714 C1_C132
D1_A733 D6_C988
D1_A774 A1_B452
D1_A794 D4_A558
D1_A819 C7_C572
D1_A855 B3_A653
D1_A859 B1_A146
D1_A942 B2_B344
D1_A942 D2_A302
D1_B135 C4_A40
D1_B14 B2_B972
D1_B193 B3_B781
D1_B218 A6_C790
D1_B229 A2_B104
D1_B23 B5_C149
D1_B275 D5_B678
D1_B297 D2_B915
D1_B303 A2_B338
D1_B303 A2_B338
D1_B314 C4_B562
D1_B328 B2_C133
D1_B373 A7_B53
D1_B392 C7_B829
D1_B404 B1_B307
D1_B455 A7_A214
D1_B456 D1_B301
D1_B578 A7_B738
D1_B662 D2_B470
D1_B69 B2_A161
D1_B717 A1_B573
D1_B731 B7_A38
D1_B757 B1_A870
D1_B772 A5_A195
D1_B82 A5_C82
D1_B877 A2_A485
D1_B879 D4_A594
D1_B889 C6_A885
D1_B889 D6_B173
D1_B889 D6_B173
D1_B950 A7_C441
D1_B97 C1_A407
D1_C101 A5_C771
D1_C124 C3_C45
D1_C178 D6_A641
D1_C204 D5_C10
D1_C24 A2_C54
D1_C264 A1_B314
D1_C332 D2_C356
D1_C349 B2_B253
D1_C352 A3_B752
D1_C412 A4_A433
D1_C422 D5_C581
D1_C425 D2_C764
D1_C456 D3_C979
D1_C465 B5_C588
D1_C481 B7_B872
D1_C52 D2_B850
D1_C547 C3_C782
D1_C59 A5_A452
D1_C620 D3_C848
D1_C620 D3_C848
D1_C653 D2_A416
D1_C690 C1_B765
D1_C692 A2_A206
D1_C726 D4_C492
D1_C729 C1_B837
D1_C751 C5_C776
D1_C764 B2_B132
D1_C837 D1_B119
D1_C878 C5_C527
D1_C915 D4_C214
D1_C92 D4_A174
D1_C93 B3_A752
D1_C97 A6_C201
D1_C984 C7_A719
D2_A147 D2_A369
D2_A184 D7_A172
D2_A22 C3_C565
D2_A232 D6_B335
D2_A258 A1_A316
D2_A262 A5_B586
D2_A334 C1_C503
D2_A407 B7_A277
D2_A444 A5_B229
D2_A522 A3_A337
D2_A610 D2_C683
D2_A649 A4_B970
D2_A66 A6_C217
D2_A665 B6_B498
D2_A717 A6_A1
D2_A779 B2_C762
D2_A779 D3_A804
D2_A813 C4_C390
D2_A839 D5_A670
D2_A844 C5_B992
D2_A860 A2_C857
D2_A861 D6_A387
D2_A886 B1_B79
D2_A929 A1_C562
D2_A979 D5_B496
D2_A992 B7_A216
D2_B289 D1_B731
D2_B296 D5_A162
D2_B299 B5_A117
D2_B30 D1_B869
D2_B322 D2_A845
D2_B342 A6_B867
D2_B457 B3_A694
D2_B491 A2_C845
D2_B504 C7_A637
D2_B557 B3_B890
D2_B575 D2_B764
D2_B581 B1_B885
D2_B7 B6_A649
D2_B737 D6_A599
D2_B755 D6_B97
D2_B755 D6_B97
D2_B785 A1_C918
D2_B850 B6_B172
D2_B893 C5_A384
D2_B938 A1_A807
D2_B96 A2_C353
D2_C104 B4_B622
D2_C114 B5_A729
D2_C148 C5_A341
D2_C149 D7_C432
D2_C199 C4_A977
D2_C260 B4_C282
D2_C269 A4_C335
D2_C306 C4_B676
D2_C309 B2_C9
D2_C327 C5_C252
D2_C328 A2_B287
D2_C372 C7_A295
D2_C378 D1_C919
D2_C380 B4_C2
D2_C4 B1_C212
D2_C478 A4_C553
D2_C484 C5_B853
D2_C486 A6_B721
D2_C491 C5_C578
D2_C515 A6_C964
D2_C542 D1_C5
D2_C629 D4_C1
D2_C665 B2_A532
D2_C678 D1_C565
D2_C678 D1_C565
D2_C697 D7_C960
D2_C83 D2_A679
D2_C861 B2_B923
D2_C876 D4_B880
D2_C932 A3_C821
D2_C935 C2_C706
D2_C978 D5_B915
D3_A203 C2_C508
D3_A214 B5_A539
D3_A234 A4_B325
D3_A295 B3_C161
D3_A315 D5_A503
D3_A330 A6_A810
D3_A377 A2_A11
D3_A382 B2_C282
D3_A499 C3_A432
D3_A5 C4_A784
D3_A536 B7_B394
D3_A55 D3_A877
D3_A55 D3_A877
D3_A677 D6_A330
D3_A69 B2_A416
D3_A697 C3_C913
D3_A700 C7_C569
D3_A827 A2_C863
D3_A851 C4_C453
D3_A867 D2_C213
D3_A877 B7_B892
D3_A902 C5_A952
D3_A987 D7_A354
D3_A987 D7_A354
D3_A990 A4_B166
D3_B110 D2_C770
D3_B184 C2_C879
D3_B185 C4_C321
D3_B202 C1_B780
D3_B243 A6_C687
D3_B305 D1_B847
D3_B305 D1_B847
D3_B307 D1_A671
D3_B355 D3_B407
D3_B355 D3_B407
D3_B374 D7_A260
D3_B427 A2_B221
D3_B456 A3_B264
D3_B484 B1_A76
D3_B49 A2_A509
D3_B50 B4_B282
D3_B558 A2_B857
D3_B659 B3_A879
D3_B702 C4_C39
D3_B784 A5_A108
D3_B803 D3_B510
D3_B809 B4_B492
D3_B862 D2_B35
D3_B931 B3_B837
D3_B948 C3_C924
D3_C224 C6_A607
D3_C25 C4_B17
D3_C258 D1_C464
D3_C258 D1_C464
D3_C263 C1_C656
D3_C340 D2_B954
D3_C385 D1_B213
D3_C39 A3_C660
D3_C390 D2_C264
D3_C390 D7_A20
D3_C395 D2_C316
D3_C443 B4_B882
D3_C494 B4_C696
D3_C526 D5_C255
D3_C526 D5_C255
D3_C545 C6_A801
D3_C56 A5_C245
D3_C627 C6_A661
D3_C670 D3_C225
D3_C724 B1_B9
D3_C779 D4_C817
D3_C789 B1_B264
D3_C792 C2_B314
D3_C813 B6_C576
D3_C827 A5_C643
D3_C845 B6_C366
D3_C891 D3_C793
D3_C891 D3_C793
D3_C896 A5_B652
D3_C933 A6_C842
D3_C950 C1_A229
D3_C998 A5_A304
D4_A157 A7_C228
D4_A164 D6_A748
D4_A199 B4_C951
D4_A214 D2_A656
D4_A230 A1_A18
D4_A255 C6_C823
D4_A286 B3_C903
D4_A307 B5_A887
D4_A405 A4_C530
D4_A41 B5_B964
D4_A484 D7_B552
D4_A484 D7_B552
D4_A512 D2_B142
D4_A534 A1_B12
D4_A534 D3_A702
D4_A592 C7_B478
D4_A618 B6_B451
D4_A661 A6_C861
D4_A704 A1_A118
D4_A740 C3_C586
D4_A761 D6_A849
D4_A761 D6_A849
D4_A808 D2_A785
D4_A808 D2_A785
D4_A81 D6_B672
D4_A83 B4_B202
D4_A836 D7_A54
D4_A896 C6_A470
D4_A906 B7_A517
D4_A921 C3_B987
D4_A998 B3_A560
D4_B169 D3_B369
D4_B191 C4_C423
D4_B193 A5_A295
D4_B237 C4_B568
D4_B267 D4_A528
D4_B273 D6_B893
D4_B273 D6_B893
D4_B280 A5_B6
D4_B280 A5_B6
D4_B291 C1_B569
D4_B324 A5_A595
D4_B360 B6_B898
D4_B375 A1_B133
D4_B437 C1_A910
D4_B486 A6_C589
D4_B503 A1_B975
D4_B518 D6_B482
D4_B635 B4_C882
D4_B635 C5_C775
D4_B656 D5_A134
D4_B657 C7_A287
D4_B657 D3_B765
D4_B661 B3_C817
D4_B755 A7_A188
D4_B755 A7_A188
D4_B783 D5_C402
D4_B799 C6_C229
D4_B826 A1_B608
D4_B852 C7_C132
D4_B854 C7_B86
D4_B941 C3_C998
D4_B956 C2_B877
D4_B986 D2_C975
D4_C10 A3_C99
D4_C107 C3_C265
D4_C116 B5_C37
D4_C116 B5_C37
D4_C220 A7_C946
D4_C224 C2_C443
D4_C309 D1_C79
D4_C329 D3_A681
D4_C339 D1_B322
D4_C405 C3_C740
D4_C413 D6_A788
D4_C418 C3_C287
D4_C428 C3_B907
D4_C429 D4_C402
D4_C429 D4_C402
D4_C542 A7_C149
D4_C635 B3_A449
D4_C675 C2_C931
D4_C690 D3_C662
D4_C73 D5_C66
D4_C754 D3_C55
D4_C793 D4_C486
D4_C892 D5_A867
D4_C93 C7_B893
D5_A125 B4_B757
D5_A144 C1_C527
D5_A148 B6_A604
D5_A179 A1_A154
D5_A19 D4_A973
D5_A220 C2_C870
D5_A265 D5_A215
D5_A287 B7_C831
D5_A293 B3_B210
D5_A297 A1_C14
D5_A312 B1_A76
D5_A38 B7_A612
D5_A405 D3_B884
D5_A422 D6_A795
D5_A432 D2_A238
D5_A49 D2_A198
D5_A494 A5_A162
D5_A517 D7_B310
D5_A627 C3_A144
D5_A649 D4_B127
D5_A662 D3_B591
D5_A674 A7_B544
D5_A766 C6_C722
D5_A768 A4_C717
D5_A769 D3_A655
D5_A787 C1_A543
D5_A807 D5_A866
D5_A813 B2_A386
D5_A848 C2_B368
D5_A866 A5_C480
D5_A867 B6_B326
D5_A867 D4_C903
D5_A87 A7_A329
D5_A938 A1_B106
D5_A942 A7_A710
D5_A970 A1_C922
D5_B130 A6_A246
D5_B18 B6_A635
D5_B201 C3_A80
D5_B24 D7_B250
D5_B24 D7_B250
D5_B250 D3_B811
D5_B275 A1_C328
D5_B281 D5_B943
D5_B306 C7_B276
D5_B321 C7_A29
D5_B37 D7_A919
D5_B462 C5_A607
D5_B465 C1_A177
D5_B467 D7_B772
D5_B553 A7_B321
D5_B596 A6_A633
D5_B622 A3_A517
D5_B677 B5_C941
D5_B696 D4_B978
D5_B713 C7_B407
D5_B722 A6_B48
D5_B724 D7_B239
D5_B765 C5_B645
D5_B766 B7_C295
D5_B795 C1_A850
D5_B820 D3_B383
D5_B84 D2_B763
D5_B84 D2_B763
D5_B852 C6_B949
D5_B862 C6_C226
D5_B896 C5_B990
D5_B917 B4_A157
D5_C13 D7_A950
D5_C176 C2_A124
D5_C200 B6_C278
D5_C205 D7_C267
D5_C247 C6_A591
D5_C248 A7_C507
D5_C295 D1_C804
D5_C310 A6_A521
D5_C348 C4_C550
D5_C401 B6_A151
D5_C405 B6_C785
D5_C412 D2_C113
D5_C435 D2_C760
D5_C450 C4_C685
D5_C535 B3_A971
D5_C601 C6_B221
D5_C610 D5_C342
D5_C68 D4_C810
D5_C68 D4_C810
D5_C716 D7_A685
D5_C746 A4_A149
D5_C774 C3_A541
D5_C823 D5_B516
D5_C860 D7_B865
D5_C873 C1_A382
D5_C902 D1_B544
D5_C930 D1_C9
D6_A119 D5_B601
D6_A140 C7_B352
D6_A155 C1_B418
D6_A171 D3_A273
D6_A208 B5_C54
D6_A239 C7_C126
D6_A355 C2_C499
D6_A384 D3_B255
D6_A414 A3_C791
D6_A441 C1_B551
D6_A47 B3_A558
D6_A471 B7_A855
D6_A58 A3_A300
D6_A625 B4_A720
D6_A627 D5_B903
D6_A659 D5_A504
D6_A682 B4_C56
D6_A709 D4_B1
D6_A756 B6_B466
D6_A859 B3_A405
